item_id,mention_id,entity_id,gender,mention_reliability,gender_confidence,gender_evidence_chain,item_text,mention_text,start,end,mention_type,namedness,kinship,grammatical_role,dep_pos,root,root_pos,agency,authority,generic_he,conj,verb_negation,number,personhood_confidence,coref_confidence,gender_evidence_local
item_003,M2,E1,F,0.95,0.99,"[""girl"", ""her""]",A girl used a magnet to separate iron filings from sand. What property of iron allowed her to do this?,her,87,90,pronoun,0,0,object,nsubj,allowed,VERB,low,none,0,none,0,singular,0.99,0.95,"[""her""]"
item_004,M1,E1,F,0.98,0.99,"[""kinship term 'mother' indicates female"", ""pronoun 'her' corefers with mother and is female-coded""]",The mother boiled water in a pot while her son watched the steam rise. What change of state occurred when the water became steam?,mother,4,10,kinship,0,1,subject,nsubj,boiled,VERB,high,low,0,while,0,singular,0.99,0.98,"[""kinship term 'mother' indicates female""]"
item_004,M2,E1,F,0.97,0.99,"[""kinship term 'mother' indicates female"", ""pronoun 'her' corefers with mother and is female-coded""]",The mother boiled water in a pot while her son watched the steam rise. What change of state occurred when the water became steam?,her,7,10,pronoun,0,0,possessive,poss,son,NOUN,none,none,0,none,0,singular,0.95,0.97,"[""possessive pronoun 'her' refers to mother and indicates female""]"
item_004,M3,E2,M,0.99,0.99,"[""kinship term 'son' indicates male""]",The mother boiled water in a pot while her son watched the steam rise. What change of state occurred when the water became steam?,son,43,46,kinship,0,1,subject,nsubj,watched,VERB,medium,none,0,none,0,singular,0.99,0.99,"[""kinship term 'son' indicates male""]"
item_005,M1,E1,M,0.98,0.99,"[""Pronoun 'He' refers to the same individual as 'Jamal' and indicates male gender."", ""Possessive pronoun 'his' refers to the same individual and indicates male gender."", ""Proper name 'Jamal' is also male-coded, consistent with pronoun evidence.""]",Jamal observed that a puddle disappeared after a warm afternoon. He wrote that evaporation had taken place. What evidence supports his conclusion?,Jamal,0,5,proper,1,0,subject,nsubj,observed,VERB,high,low,0,none,0,singular,0.99,0.98,"[""Proper name 'Jamal' is commonly male-coded, but name evidence is weaker than pronoun evidence.""]"
item_005,M2,E1,M,0.99,0.99,"[""Pronoun 'He' refers to the same individual as 'Jamal' and indicates male gender."", ""Possessive pronoun 'his' refers to the same individual and indicates male gender."", ""Proper name 'Jamal' is also male-coded, consistent with pronoun evidence.""]",Jamal observed that a puddle disappeared after a warm afternoon. He wrote that evaporation had taken place. What evidence supports his conclusion?,He,65,67,pronoun,0,0,subject,nsubj,wrote,VERB,high,low,0,none,0,singular,0.99,0.99,"[""Pronoun 'He' indicates male gender.""]"
item_005,M3,E1,M,0.98,0.99,"[""Pronoun 'He' refers to the same individual as 'Jamal' and indicates male gender."", ""Possessive pronoun 'his' refers to the same individual and indicates male gender."", ""Proper name 'Jamal' is also male-coded, consistent with pronoun evidence.""]",Jamal observed that a puddle disappeared after a warm afternoon. He wrote that evaporation had taken place. What evidence supports his conclusion?,his,131,134,pronoun,0,0,possessive,poss,conclusion,NOUN,low,none,0,none,0,singular,0.98,0.98,"[""Possessive pronoun 'his' indicates male gender.""]"
item_006,M1,E1,unknown,0.55,0.0,[],The teacher gave Ana and Leo two thermometers. They placed one in ice water and the other in hot water. Which thermometer should show the higher temperature?,The teacher,0,11,occupational,0,0,subject,nsubj,gave,VERB,high,high,0,none,0,singular,0.98,0.55,[]
item_006,M2,E2,F,0.99,0.78,"[""Proper name 'Ana' is strongly associated with female gender.""]",The teacher gave Ana and Leo two thermometers. They placed one in ice water and the other in hot water. Which thermometer should show the higher temperature?,Ana,17,20,proper,1,0,object,dobj,gave,VERB,medium,low,0,and,0,singular,0.99,0.99,"[""Proper name 'Ana' is strongly associated with female gender.""]"
item_006,M3,E3,M,0.99,0.72,"[""Proper name 'Leo' is strongly associated with male gender.""]",The teacher gave Ana and Leo two thermometers. They placed one in ice water and the other in hot water. Which thermometer should show the higher temperature?,Leo,25,28,proper,1,0,object,conj,gave,VERB,medium,low,0,and,0,singular,0.99,0.99,"[""Proper name 'Leo' is strongly associated with male gender.""]"
item_006,M4,E4,N,0.9,0.62,"[""Plural pronoun 'They' refers to a group of people; gender treated as neutral/plural.""]",The teacher gave Ana and Leo two thermometers. They placed one in ice water and the other in hot water. Which thermometer should show the higher temperature?,They,47,51,pronoun,0,0,subject,nsubj,placed,VERB,high,low,0,none,0,plural,0.95,0.9,[]
item_007,M1,E1,F,0.95,0.98,"[""Pronoun 'She' coreferring with 'A farmer' indicates female.""]",A farmer noticed that worms were most active after rain. She told her daughter that moist soil helps earthworms survive. Why do earthworms need moisture?,A farmer,0,8,occupational,0,0,subject,nsubj,noticed,VERB,high,low,0,none,0,singular,0.98,0.95,[]
item_007,M2,E1,F,0.98,0.98,"[""Pronoun 'She' coreferring with 'A farmer' indicates female.""]",A farmer noticed that worms were most active after rain. She told her daughter that moist soil helps earthworms survive. Why do earthworms need moisture?,She,57,60,pronoun,0,0,subject,nsubj,told,VERB,high,medium,0,none,0,singular,0.99,0.98,"[""Pronoun 'She' indicates female.""]"
item_007,M3,E2,F,0.99,0.99,"[""Kinship term 'daughter' indicates female.""]",A farmer noticed that worms were most active after rain. She told her daughter that moist soil helps earthworms survive. Why do earthworms need moisture?,her daughter,66,78,kinship,0,1,object,dobj,told,VERB,low,none,0,none,0,singular,0.99,0.99,"[""Kinship term 'daughter' indicates female.""]"
item_008,M1,E1,F,0.99,0.99,"[""Title 'Mrs.' in 'Mrs. Rivera' indicates female"", ""Pronoun 'She' indicates female""]","During a field trip, Mrs. Rivera asked the class to identify producers in a pond ecosystem. She pointed to the algae near the surface. Why are algae considered producers?",Mrs. Rivera,21,32,proper,1,0,subject,nsubj,asked,VERB,high,high,0,none,0,singular,0.99,0.99,"[""Title 'Mrs.' indicates female""]"
item_008,M2,E2,N,0.95,0.86,"[""Group reference 'the class' denotes multiple people; no gender-specific evidence""]","During a field trip, Mrs. Rivera asked the class to identify producers in a pond ecosystem. She pointed to the algae near the surface. Why are algae considered producers?",the class,39,48,group,0,0,object,dobj,asked,VERB,low,none,0,none,0,plural,0.93,0.95,[]
item_008,M3,E1,F,0.98,0.99,"[""Title 'Mrs.' in 'Mrs. Rivera' indicates female"", ""Pronoun 'She' indicates female""]","During a field trip, Mrs. Rivera asked the class to identify producers in a pond ecosystem. She pointed to the algae near the surface. Why are algae considered producers?",She,92,95,pronoun,0,0,subject,nsubj,pointed,VERB,high,medium,0,none,0,singular,0.99,0.98,"[""Pronoun 'She' indicates female""]"
item_009,M1,E1,M,0.99,0.96,"[""Proper name Kevin is commonly male-coded."", ""Pronoun His explicitly marks male referent.""]",Kevin pushed a toy car across the floor. His sister pushed the same car with greater force. How did the greater force affect the car’s motion?,Kevin,0,5,proper,1,0,subject,nsubj,pushed,VERB,high,none,0,none,0,singular,1.0,0.99,"[""Proper name Kevin is commonly male-coded; no contradictory evidence.""]"
item_009,M2,E1,M,0.97,0.96,"[""Proper name Kevin is commonly male-coded."", ""Pronoun His explicitly marks male referent.""]",Kevin pushed a toy car across the floor. His sister pushed the same car with greater force. How did the greater force affect the car’s motion?,His,41,44,pronoun,0,0,possessive,poss,sister,NOUN,low,none,0,none,0,singular,0.95,0.97,"[""Possessive pronoun His indicates male referent.""]"
item_009,M3,E2,F,0.95,0.99,"[""Kinship term sister explicitly marks female referent.""]",Kevin pushed a toy car across the floor. His sister pushed the same car with greater force. How did the greater force affect the car’s motion?,sister,45,51,kinship,0,1,subject,nsubj,pushed,VERB,high,none,0,none,0,singular,0.99,0.95,"[""Kinship term sister indicates female referent.""]"
item_010,M1,E1,M,0.96,0.99,"[""Pronouns 'He' and 'he' refer to the scientist and indicate male gender.""]",A scientist examined two rocks with a hand lens. He said one rock had visible layers formed by pressure over time. Which type of rock was he describing?,A scientist,0,11,occupational,0,0,subject,nsubj,examined,VERB,high,medium,0,none,0,singular,0.99,0.96,[]
item_010,M2,E1,M,0.99,0.99,"[""Pronouns 'He' and 'he' refer to the scientist and indicate male gender.""]",A scientist examined two rocks with a hand lens. He said one rock had visible layers formed by pressure over time. Which type of rock was he describing?,He,49,51,pronoun,0,0,subject,nsubj,said,VERB,high,medium,0,none,0,singular,0.99,0.99,"[""Pronoun 'He' indicates male gender.""]"
item_010,M3,E1,M,0.99,0.99,"[""Pronouns 'He' and 'he' refer to the scientist and indicate male gender.""]",A scientist examined two rocks with a hand lens. He said one rock had visible layers formed by pressure over time. Which type of rock was he describing?,he,138,140,pronoun,0,0,subject,nsubj,describing,VERB,medium,low,0,none,0,singular,0.99,0.99,"[""Pronoun 'he' indicates male gender.""]"
